Terminal,Station,Location,Latitude,Longitude,Nb docks
30000,100 Main Street SE,140 Main Street SE,44.984892,-93.256551,27
30001,25th Street & 33rd. Ave. S.,3301 East 25th Street,44.95734,-93.22374,15
30002,Augsburg College,2381 Riverside Ave. S,44.96622,-93.2384,15
30003,Plymouth Ave N. &  N. Oliver Ave,2060 Plymouth Avenue North,44.991412,-93.306269,15
30004,11th Street & Hennepin,1060 Hennepin Ave.,44.97534,-93.27869,23
30005,Hennepin & Central Avenue NE,422 East Hennepin Ave.,44.98889,-93.25392,15
30006,YWCA Downtown,1190 Nicollett Mall,44.972217,-93.276435,23
30007,9th Street & 4th Ave.,380 South 9th Street,44.97265,-93.26872,19
30008,Midtown Exchange,2975 Elliot Ave. S,44.94851,-93.2602,19
